,open,high,low,close,vol
20170711,58100,60200,58000,60100,
20170710,59700,59900,58200,58300,
20170707,57600,59900,57600,59700,
20170706,57800,58500,57600,57600,
20170705,58800,58900,57700,58100,
20170704,59100,60500,58000,58600,
20170703,57000,57200,56800,57000,
20170630,56900,57300,56600,57000,
20170629,57300,57600,56600,56800,
20170628,58000,58100,56700,56900,
20170627,57200,58100,57200,57600,
20170626,58400,58500,57500,57600,
20170623,58000,58800,57800,58700,
20170622,58200,58200,57500,57700,
20170621,57700,58500,57600,58100,
20170620,59600,59700,57500,57500,
20170619,60700,60800,59200,59800,
20170616,60900,61700,60400,60900,
20170615,62600,63000,60900,61200,
20170614,63300,63500,62700,62800,
20170613,63100,64100,63100,63200,
20170612,63500,64200,62800,63000,
20170609,64100,64500,63500,63600,
20170608,63100,64700,62100,64700,
20170607,64500,64600,62900,63100,
20170605,64000,64500,63100,64500,
20170602,63200,64300,63100,63900,
20170601,63400,63700,62800,63500,
20170531,63400,64400,63000,63600,
20170530,64200,64200,62600,63400,
20170529,64500,64800,63800,64300,
20170526,62800,64200,62700,64100,
20170525,63100,63800,62400,62900,
20170524,61600,62500,61600,62400,
20170523,62000,62300,61500,61500,
20170522,63500,63600,61700,61900,
20170519,61500,63000,61200,63000,
20170518,60700,61900,60700,61000,
20170517,61500,62400,60700,61200,
20170516,63600,64100,61600,62000,
20170515,64100,64200,63100,63600,
20170512,64900,65100,63800,63900,
20170511,64500,65100,64200,65100,
20170510,64600,65400,62800,63900,
20170508,63300,64000,63100,64000,
20170504,62300,63000,62200,63000,
20170502,63700,63800,62200,62300,
20170428,64100,64400,63000,63800,
20170427,64300,65200,63800,64900,
20170426,62400,62900,62100,62600,
20170425,62300,63300,62200,62400,
20170424,62800,63300,62000,62200,
20170421,63100,63100,62200,62800,
20170420,62200,63000,61700,62900,
20170419,60400,62300,59900,61700,
20170418,56800,60500,56800,60300,
20170417,57600,57700,56700,57000,
20170414,57400,57900,57100,57500,
20170413,57600,57700,56900,57100,
20170412,57300,57600,56700,56900,
20170411,58400,58600,56300,56600,
20170410,57700,59300,57200,58300,
20170407,57600,58100,57400,58000,
20170406,57000,58700,56700,57400,
20170405,58500,58600,56600,57300,
20170404,57900,58200,57600,58200,
20170403,57800,58100,57600,57900,
20170331,57200,57800,56700,57600,
20170330,57100,57100,55900,56600,
20170329,58100,58100,56900,57100,
20170328,57900,58300,57500,57900,
20170327,58300,58600,57600,57900,
20170324,58100,58400,57300,58000,
20170323,57700,58300,57200,58000,
20170322,57600,57900,57100,57200,
20170321,57400,57600,57000,57600,
20170320,57300,57500,56500,56800,
20170317,57500,58100,57000,57800,
20170316,58200,58600,56700,57200,
20170315,57700,58200,57300,57800,
20170314,58900,59200,57600,57800,
20170313,59600,59700,58400,58800,
20170310,57600,59000,57300,59000,
20170309,56800,58000,56500,57300,
20170308,57200,57800,56600,56700,
20170307,57800,57900,56900,57200,
20170306,56600,57900,56500,57700,
20170303,56600,56900,55600,56300,
20170302,58100,58400,56700,56800,
20170228,58300,58400,57200,58300,
20170227,56900,58100,56900,57700,
20170224,58000,58000,56700,57200,
20170223,58000,58200,57500,57800,
20170222,56800,57500,56100,57300,
20170221,56000,56600,55900,56400,
20170220,55600,56800,55400,56000,
20170217,54800,55300,54300,55300,
20170216,56300,56400,54600,55000,
20170215,56200,57200,56100,56500,
20170214,55200,56800,54900,55800,
20170213,54500,55200,53200,54500,
20170210,56900,57000,54100,54400,
20170209,56900,57900,56200,56600,
20170208,58600,58800,56600,56800,
20170207,59000,59700,58600,58700,
20170206,60200,60300,58600,58700,
20170203,61400,61700,57700,61000,
20170202,63500,65300,63200,65300,
20170201,62600,63200,62100,62600,
20170131,62500,62800,60900,62000,
20170126,61800,63300,61800,62100,
20170125,63800,64500,61600,61800,
20170124,66800,67000,63600,64300,
20170123,66100,66700,65100,66400,
20170120,66900,66900,65900,66100,
20170119,66600,67800,66300,66900,
20170118,67400,67400,66300,66600,
20170117,67800,68400,66900,67300,
20170116,69500,69600,68000,68300,
20170113,70500,70600,69300,69500,
20170112,69500,70500,69400,70100,
20170111,69400,70400,69300,69500,
20170110,69600,69700,68700,69700,
20170109,70900,71000,69300,69500,
20170106,71000,71100,70300,70700,
20170105,71000,71300,70600,70900,
20170104,71300,71500,70300,70800,
20170103,69300,71500,69200,70900,
20170102,67600,69400,67500,69000,
20161229,66400,67500,66100,67000,
20161228,69500,69600,66100,66200,
20161227,66000,67200,65700,67000,
20161226,67000,67500,65500,65800,
20161223,66700,67900,66500,67000,
20161222,68800,69300,66900,66900,
20161221,70000,70300,68900,69000,
20161220,69800,71600,69200,69600,
20161219,68600,69000,67700,68100,
20161216,68100,69400,67900,69200,
20161215,67800,69100,67500,68200,
20161214,69000,69100,67700,68400,
20161213,69000,69600,67900,68800,
20161212,66300,68900,65600,68800,
20161209,65000,65800,64500,65200,
