,open,high,low,close,vol
20181031,28400,28850,27650,28450,
20181030,28100,29000,27100,28350,
20181029,29650,30450,28600,28700,
20181026,30500,30550,29250,29450,
20181025,29250,30400,28800,30300,
20181024,29300,30400,29150,29800,
20181023,29500,29700,28700,29050,
20181022,29000,29500,28250,29500,
20181019,28250,29300,28200,29050,
20181018,28650,30250,28250,28500,
20181017,28650,28950,28250,28800,
20181016,28400,28800,28050,28350,
20181015,27400,29100,27400,28100,
20181012,27200,28400,27150,27650,
20181011,27550,28800,27100,27650,
20181010,29100,29550,28050,28700,
20181008,28900,29450,28500,28950,
20181005,27550,29050,27400,28950,
20181004,26500,28000,26300,28000,
20181002,25050,26500,25050,26300,
20181001,25450,25650,24950,25050,
20180928,26500,27000,24950,25400,
20180927,26650,28850,26600,28700,
20180921,26750,26950,26250,26250,
20180920,25750,26700,25450,26500,
20180919,26550,26900,25450,25800,
20180918,26800,27150,26550,26700,
20180917,26600,27150,26200,26950,
20180914,26850,27050,26500,26600,
20180913,26450,26750,26300,26550,
20180912,27000,27100,26200,26450,
20180911,26900,27250,26350,27050,
20180910,27000,27500,26550,27000,
20180907,25800,26950,25500,26900,
20180906,25200,25750,25050,25500,
20180905,25300,25750,25000,25150,
20180904,25600,25850,25150,25450,
20180903,25050,25750,24800,25600,
20180831,25900,25900,24900,25000,
20180830,25950,26350,25500,25900,
20180829,25550,26400,25300,25850,
20180828,24200,25450,24150,25400,
20180827,24500,24750,24050,24100,
20180824,23900,24550,23550,24450,
20180823,24650,24800,23750,23850,
20180822,23950,25000,23800,24650,
20180821,23750,24100,23550,24050,
20180820,23350,24350,23300,23650,
20180817,23100,23450,23000,23050,
20180816,23250,23550,22750,23050,
20180814,22400,23550,22400,23500,
20180813,22800,23600,22350,22350,
20180810,22350,22550,22200,22500,
20180809,22500,22650,22200,22300,
20180808,22550,22900,22500,22700,
20180807,22600,22750,22350,22650,
20180806,23200,23450,22600,22750,
20180803,22700,23250,22650,23250,
20180802,23300,23300,22500,22600,
20180801,22750,23400,22500,23350,
20180731,22850,22900,22200,22550,
20180730,22300,23050,22250,22850,
20180727,22650,22650,21900,22400,
20180726,23000,23000,22400,22450,
20180725,23200,23300,22600,22800,
20180724,23100,23400,22750,23150,
20180723,23550,24500,22850,23000,
20180720,21800,24050,21700,23400,
20180719,23150,23200,22000,22100,
20180718,22900,23750,22850,23100,
20180717,23100,23700,22800,23250,
20180716,22400,23300,22400,23050,
20180713,22350,22850,22000,22400,
20180712,23000,23150,22200,22250,
20180711,23200,23800,22700,22800,
20180710,23200,23250,22800,23100,
20180709,22350,23150,22100,23050,
20180706,21650,22150,21500,22150,
20180705,22400,22500,21250,21600,
20180704,22400,23000,22200,22600,
20180703,22500,23100,22100,22450,
20180702,23750,23750,22050,22500,
